id,ra,dec,B_mag,B_mag_unc,V_mag,V_mag_unc,g_mag,g_mag_unc,r_mag,r_mag_unc,i_mag,i_mag_unc,z_mag,z_mag_unc,J_mag,J_mag_unc,H_mag,H_mag_unc,K_mag,K_mag_unc,G_mag,G_mag_unc,Bp_mag,Bp_mag_unc,Rp_mag,Rp_mag_unc,parallax,parallax_unc,GaiaID
EPIC201920032,174.106908,7.753113,13.779,0.04,13.068,0.01,13.369,0.06,12.816,0.05,12.685,0.01,,,11.776,0.021,11.429,0.025,11.364,0.025,12.9033,0.0003,13.2823,0.0012,12.3765,0.0007,0.0024721,4.91e-05,3910897305914234624
EPIC201923289,174.920526,7.825885,14.762,0.01,13.899,0.01,14.31,0.04,13.621,0.02,13.422,0.05,,,12.347,0.022,11.971,0.023,11.87,0.023,13.6711,0.0003,14.1283,0.002,13.0692,0.0018,0.0022288,3.35e-05,3910864148766777600
EPIC201927336,170.933987,7.917097,14.051,0.1,13.301,0.11,13.653,0.16,13.056,0.1,12.865,0.14,,,11.876,0.026,11.508,0.031,11.482,0.029,13.0886,0.0004,13.4845,0.0013,12.5418,0.0007,0.0027052,3.23e-05,3913912235516960000
EPIC202064253,91.50423,22.89176,,,,,,,,,,,,,,,,,,,12.305,0.0003,12.5751,0.0025,11.8653,0.0016,0.0005288000000000001,5.3400000000000004e-05,3423830731601159936
EPIC202066192,95.24745,26.12538,,,,,,,,,,,,,,,,,,,14.7765,0.0007,14.8447,0.0041,14.5781,0.0026,0.0001478,4.12e-05,3432091152007070592
EPIC202066537,104.26603,18.62674,,,,,,,,,,,,,,,,,,,14.7398,0.0007,14.9224,0.0039,14.3365,0.0198,0.000166,6.46e-05,3364627558065966848
EPIC202071289,95.18309,24.90434,,,,,,,,,,,,,,,,,,,10.8766,0.0023,11.2535,0.0053,10.3645,0.0038,0.0037584,0.000129,3425807855371050624
EPIC202071401,100.37797,20.92281,,,,,,,,,,,,,,,,,,,12.5582,0.0002,13.1989,0.0034,11.8061,0.0019,0.0078342,5.86e-05,3378104379464943616
EPIC202071635,93.57181,18.62702,,,,,,,,,,,,,,,,,,,10.1789,0.0007,10.331,0.0012,9.9177,0.0012,0.0003435,4.65e-05,3373469800514670976
EPIC202072596,99.51074,20.93931,,,,,,,,,,,,,,,,,,,11.5166,0.0093,11.5081,0.0091,11.1573,0.009,,,3372842284315040128
EPIC202072965,96.59956,27.9456,,,,,,,,,,,,,,,,,,,10.3219,0.0029,10.5583,0.0087,9.9564,0.0037,0.0020937,4.82e-05,3432818753826529792
EPIC202083828,94.20658,24.59641,,,,,,,,,,,,,,,,,,,13.7519,0.0004,14.8422,0.003,12.7345,0.0017,0.010067399999999999,5.19e-05,3425691139632545152
EPIC202086291,94.44968,25.60257,,,,,,,,,,,,,,,,,,,12.0965,0.0014,12.4676,0.0063,11.5813,0.0043,0.0014006000000000001,5.9999999999999995e-05,3426090468514365056
EPIC202086968,97.00563,16.38885,,,,,,,,,,,,,,,,,,,12.3617,0.0002,12.6798,0.004,11.8649,0.0051,0.0019627,4.02e-05,3369361402301215616
EPIC202088212,95.6413,14.74177,,,,,,,,,,,,,,,,,,,11.4672,0.0004,11.7648,0.0016,11.0228,0.0015,0.0023573,4.3700000000000005e-05,3368700905049734784
EPIC202089657,91.45355,23.48454,,,,,,,,,,,,,,,,,,,11.5156,0.0004,11.8057,0.0019,11.081,0.0012,0.0025269,4.1700000000000004e-05,3426117131673547392
EPIC202090152,101.07915,28.11358,,,,,,,,,,,,,,,,,,,11.3269,0.0004,11.6138,0.0015,10.8977,0.0017,0.0013916,4.1700000000000004e-05,3386231900697107328
EPIC202091388,91.36378,21.25603,,,,,,,,,,,,,,,,,,,13.3578,0.0009,13.7416,0.0038,12.8227,0.0029,0.0022791,4.4200000000000004e-05,3423330522531466112
EPIC202092480,103.05227,25.33909,,,,,,,,,,,,,,,,,,,10.5671,0.0006,10.8753,0.0017,10.1283,0.0015,0.0032595000000000002,4.45e-05,3381561759418921728
EPIC202093020,98.27432,16.87024,,,,,,,,,,,,,,,,,,,14.4841,0.001,15.1044,0.0028,13.7023,0.0015,0.0016719999999999999,0.00023300000000000003,3369441018113246976
EPIC202094740,100.46312,27.0972,,,,,,,,,,,,,,,,,,,11.4997,0.0006,11.7204,0.0017,11.134,0.0019,,,3385753059086204672
EPIC202126847,102.2013,17.16191,,,,,,,,,,,,,,,,,,,12.3758,0.0003,12.7071,0.0014,11.9014,0.0007,0.0029314,4.04e-05,3358345949356235520
EPIC202126849,99.898,25.48254,,,,,,,,,,,,,,,,,,,13.0172,0.001,13.7969,0.0029,12.1815,0.0029,0.0069325,2.79e-05,3383298227579280640
EPIC202126852,100.84807,27.25229,,,,,,,,,,,,,,,,,,,10.8245,0.0004,11.0579,0.0021,10.4668,0.0016,0.0030912,5.36e-05,3385777286999240576
EPIC202126887,99.38054,26.78655,,,,,,,,,,,,,,,,,,,12.9556,0.0006,13.2679,0.0025,12.4929,0.002,0.0012871,3.27e-05,3385683514975379456
EPIC202126888,98.04751,27.21978,,,,,,,,,,,,,,,,,,,13.4593,0.0004,13.7356,0.0034,13.0265,0.0024,0.0008642999999999999,2.8899999999999998e-05,3432489935426363520
EPIC202565282,247.426053,-29.201726,,,,,,,,,,,,,12.782,0.027,12.163,0.026,11.899,0.026,15.429,0.0008,16.5064,0.0058,14.3864,0.0028,0.0006155,5.62e-05,6043940685454769024
EPIC202634963,242.897897,-28.934636,12.869,0.041,12.246,0.03,12.527,0.031,12.089,0.04,11.916,0.06,,,11.079,0.024,10.837,0.023,10.749,0.023,12.1514,0.0002,12.4728,0.0016,11.6683,0.0009,0.0016286,3.9399999999999995e-05,6041755169880292224
EPIC202675839,243.842095,-28.780161,13.561,0.02,12.661,0.01,13.094,0.01,12.307,0.01,12.048,0.02,,,10.929,0.021,10.598,0.026,10.49,0.025,12.4043,0.0002,12.9036,0.0013,11.7599,0.0006,0.0023136999999999997,4.99e-05,6039077992201161216
